parent_id,parent,reply,character
7027,Is there anybody else you think could run the day to day of the branch?,I can just continue to run it myself.,Michael
7028,Jim had an interesting idea to help you with this extra work load and it involved you being promoted to oversee all northeast sales and then Jim would be promoted to your position.,This was Jim’s idea?,Michael
7029,Mmhmm.,"Wow. Ummm, well I’d have to talk to my mother and my guy at H and R Block.",Michael
7030,"When you were in the office earlier talking to Wallace, did I come up at all?",Well we did talk about how handsome you are.,Michael
7031,Why don’t we head in your office to talk?,"Oh what a week, God. We said… I know there were certain things we said…",Michael
7032,"Michael, look I’ll just be honest with you. Earlier today I spoke with Wallace about a promotion. I actually think that talk went really well. And then after he spoke with you, for some reason it felt like things had changed.","Hmmm, that’s weird, that’s weird… it’s kinda weirding me out. Did you know that Lincoln’s secretary was named Kennedy.",Michael
7033,"Michael, did you say anything?","Tell you what, when you leave this office I am going to call Wallace and I am going to tell him that you should get that promotion.",Michael
7034,Really?,Yes!,Michael
7035,You will? Wanna do it right now?,Yes.,Michael
7036,This is David.,"Hey David, this is Michael Scott. Michael Scott here.",Michael
7037,Yep.,Just wanted to talk to you about Jim Halpert. I understand that he did not receive the promotion. And I wanted to see what I could do to nudge you in the right direction.,Michael
7038,"So, what, you’re changing your mind about Jim?","Absolutely, not. Like I said before, Jim is fantastic and he deserves this job.",Michael
7039,"Michael, it seems like you’re cutting in and out… This is not what you said earlier.","Wha… here’s the thing, Jim is the best man for this job, I think you should give it to him.",Michael
7040,"Well, it doesn’t change what you showed me in Jim’s file.","Well, nnnn, that… that was an anomaly. That file had been falsified. Toby Flenderson is doing drugs.",Michael
7041,How many times have I asked you to put me up for a branch manager job.,"I never recommended you because I didn’t want to lose you and I didn’t want to lose Pam, and now I don’t wanna lose the baby.",Michael
7042,"So instead, you screwed me?",That’s what she…,Michael
7043,David Wallace is calling.,Kind of in the middle of something here.,Michael
7044,Should I tell him you’ll call him back?,"I, yeah… no, I’ll tell him myself. Let’s both.",Michael
7045,"Hey Michael, you got Jim there with you?","No, it’s just us.",Michael
7046,"Actually, can you call Jim in? I want him on, please.","Oh, oh, well here he is right now. Come in.",Michael
7047,"Hey guys, so I spoke to Alan, we had kind of an unconventional idea, which I think is pretty cool. But it only works if everyone’s on board.",Well just as long as it means Jim becomes a manager.,Michael
7048,"Wow, that sounds pretty cool.","I like that, so manager and co-manager.",Michael
7049,"Co-manager and Co-manager. See, there are a lot of moving pieces and this is the only way I can sell it upstairs.",Well that might be a little confusing for people because they know me as manager.,Michael
7050,"Okay people, listen up, I have an announcement to make, fraud was committed…","Okay everybody, I have an announcement to make… whoa do you have an announcement?",Michael
7051,I’m… I was making it.,"Everybody, David Wallace and I have talked and we have decided to promote Jim to the position of co-manager.",Michael
7052,Co-manager of what?,"Of your butt, and your butt, and your butt, all of the Scranton branch butts.",Michael
7053,What’s happening to you Michael?,"What’s happening to me? I am also being promoted to co-manager, we will be co-managers together. Jim Halpert, welcome.",Michael
7054,Could you please sign my expense report?,"No way, no how. Expense reports are a day-to-day item. That is Jim’s now. I am exclusively big picture, epic.",Michael
7055,I have a complaint about Jim.,That is not big picture.,Michael
7056,"I would like to file a huge, enormous, massive complaint about the tallest guy in our office.",… Okay.,Michael
7057,Jim won’t sign my expense report.,That is not– okay– that is day-to-day.,Michael
7058,"No, that is huge.",You’re trying to trick me.,Michael
7059,This has to do–,"Get out, get out, get out, get out, get out.",Michael
7060,Michael…,Yes?,Michael
7061,Can I talk to you in my office for a second?,"Mmm, sure, but could I first talk to you in my office?",Michael
7062,I have noticed that we–,Welcome.,Michael
7063,Thank you. I’ve noticed we’ve been having a lot of conference room meetings.,Mm-hmm.,Michael
7064,"And I’m wondEring if perhaps those are a bit, um–",Disruptive.,Michael
7065,Yes.,"No, I don’t think they are. I think the meetings are very important.",Michael
7066,"Okay, maybe we should talk specifics.",Let’s do.,Michael
7067,"Okay. Yesterday, we had a meeting about planets.","N– well, to be fair, Jim… James… Jimothy… To be fair, Jimothy, the– ah, that sounds weird. Are you okay with being called Jim?",Michael
7068,I am.,"Alright. Jim, to be fair, the conversation wasn’t about planets…",Michael
7069,Right.,"At first, we were talking about introducing a line of toilet paper. And what part of the human body does one use toilet paper upon? So you draw a line from there to the other planets, and I think by the end, we all learned a little bit about how small we are.",Michael
7070,"Yes, I agree.","Because it’s a big universe, and we’re all just little, tiny specks of dust.",Michael
7071,I just think that maybe they’re eating large amounts of the day.,"You know what eats a large amount of the day are naps. You go to sleep, it’s light out, you wake up, it’s dark. That’s the whole day. Where did that day go? I have no idea.",Michael
7072,You mean on a weekend?,Yes.,Michael
7073,How about this? I think our goal should be we don’t have meetings unless they’re absolutely essential.,Alright. No more meetings this week.,Michael
7074,Really? You just agreed to that?,I can be very suprising.,Michael
7075,"Okay, I thought I saw people missing.","Yeah, just focus-grouping a product expansion idea to these folks. Got one of each.",Michael
7076,"Really? Hey, Stanley, what was the last thing Michael said before I came through the door?","Stanley, you don’t need to answer that.",Michael
7077,"Okay, Michael, I thought we agreed to not take up people’s time with meetings like these.",What do you mean by “these people”?,Michael
7078,"Michael, this is a conference room meeting.","Oh, hey, everybody, I think that Jim has gone insane, because he thinks that my office is a conference room.",Michael
7079,That’s not what I meant.,"Listen, Jim, no offense, but when push comes to shove, what I want is more important that what you want.",Michael
7080,I disagree.,What do you guys think?,Michael
7081,"Great. Guys, can I just have a moment alone with Michael?","No, no, no, you don’t need to go anywhere. Anything that Jim has to say to me, he can say in front of these types of people.",Michael
7082,"That is not what I said, and, also, I am co-manager, meaning you are not the only manager anymore. I am also I co-manager.",That is not what Wallace told us.,Michael
7083,That’s exactly what Wallace told us.,That is not the way I heard it.,Michael
7084,"I’m not bossing you around. I’m trying to do my job, which is sharing your job, so maybe we should just call David Wallace.","No, no, no. No, we will not call David Wallace. I will call David Wallace.",Michael
7085,David Wallace is on line two for you guys.,Or David Wallace will call us on line two. Why don’t we just–,Michael
7086,"Hey, David. You got Jim here.","Hey David, this is Michael, senior co-manager.",Michael
7087,"Hey guys, um, I’m calling, because, unfortunately, we will not be able to give out cost of living raises this year, and I know people expect it. However, there just is only a small amount of money for each branch, so we’re leaving it up to the managers to decide how to distribute it.","Got it, Dave. Sounds like your classice big-picture decision.",Michael
7088,It’s probably a little of both.,Which is it more of?,Michael
7089,"Wait, I’m sorry. Michael, are you– are you texting me?",I thought maybe we could talk after this is over.,Michael
7090,"Nope, not at all.","No, it will not be. I am on top of it.",Michael
7091,"Alright, thanks alot, David.","Talk to you later– Okay, you didn’t let me say good-bye. Alright, I am looking forward to this.",Michael
7092,You don’t have to lie.,"I hate the fact that we have to do this together. I think we work better separately. When I am irritated and I look at you, I don’t see you anymore.",Michael
7093,Right.,All I can see is how big and gross the pores on your nose are.,Michael
7094,"Do you mean, like break-in in the middle of the night and change the numbers on payroll?","No, we can do it during the day. It doesn’t have to be that dramatic, Jim.",Michael
7095,Okay. You know what would help is a pros and cons list for our options.,"Jim, don’t take this the wrong way. Are you gonna take this the wrong way?",Michael
7096,It’s hard to tell so far.,You use your brain too much.,Michael
7097,"I’m sorry, are you advocating that I use it less?",Sometimes the smartest people don’t think at all.,Michael
7098,You just came up with that.,As I was saying it.,Michael
7099,"Yeah. Okay, so for the 1.5% increase, pro– everyone gets a little bit.",Con– you look like a nerd.,Michael
7100,Con– no one gets as much as they did last year.,Pro– you get to share your pros and cons list with the other nerds.,Michael
7101,Pro– no favoritism.,"Con– you unzip your pants, and you find that there’s a calculator down there.",Michael
7102,"You know, the more I think about it, the more I think we should give it to the salesmen.",That will not go over well.,Michael
7103,"I know. I just think it seems smart to keep the salesmen happy right now. ‘Course I know that this might come off as biased, so you know what? Let us…","Oh, my God! Are you gonna make another pro and con list? I’m gonna kill myself.",Michael
7104,I’m not gonna let you stop me from thinking.,"No! I could not do that, Jim. I can see it in your crusty little eyes that you are going to make everything perfect. If I can just think this through, if I could just think it exactly right, I can make this perfect, and then I can go down every avenue, and every avenue off of that avenue, and then another avenue.",Michael
7105,Michael.,And then another–,Michael
7106,"Look, you have a lot of strengths.","Oh, I do?! Tell me what they are.",Michael
7107,I think that you are able to take constructive criticism very well.,Ha! That– I am not known for that!,Michael
7108,But there is a reason why I’m here!,Yes! You went over my head to Wallace!,Michael
7109,"No, it’s because you also have a lot of weaknesses, Michael!","Okay. Well, why don’t you tell me what those are, Jim? Why don’t you enliven me?",Michael
7110,I don’t think you’re good at making tough decisions!,Ah.,Michael
7111,"At thinking out the options, and then stating that decision very clearly, especially when it’s an unpopular decision.","Okay, here’s a tough decision for you. You suck! You suck! Is that clear enough for you?!",Michael
7112,"But maybe I’m here for a reason, because I might have some good ideas, too. I’ve been sitting out there, and I’ve been learning a lot, and maybe I can just bring something different to the table.","Okay, Skippy, here we go. Why don’t you run yourself out there and tell them? You call it.",Michael
7113,...,This had better be terrible.,Michael
7114,"Wow! I’m just gonna rewind and back off a bit, so…","That was good! That was good! Okay, all right. Well, we all know it’s hard to be a boss, right? You know what? Look around you. These are your best friends. These are the people who will open their hearts to you. They all have heart-ons for you , and that is a gift. So in terms of gifts, we should be giving each other gifts. Angela, yes, lend Oscar a cup of sugar. This–",Michael
7115,We just need to hear your plan for our raise.,My plan– a man– panama.,Michael
7116,"We would just like to know what’s happening. Are we getting a raise, yes or no?","Alright! Let me get this clear! Does everybody want a raise? Alright, everyone wants a raise, so what we’re going to do is go into here, and we will not come out until we do.",Michael
7117,Rank each person individually?,"Mm-hmm. Piece of cake. Ryan, obviously the best.",Michael
7118,"Well, obviously. Too bad he’s a temp and doesn’t count, so let’s get started.",Are you making a–,Michael
7119,"Each Boston Baked Bean represents half a percent raise. We each got 24 beans, so the idea is, you place the bean on the picture of who you think deserv– who’s that?",Toby.,Michael
7120,He’s not a part of this. You know that.,Just wanted to draw a picture of him.,Michael
7121,"Okay, your move.",Alright! Who to pick? Who to pick?,Michael
7122,Here we go.,I… will skip a turn.,Michael
7123,"Okay, you’re gonna still have to play that bean. You know that.",I need more time.,Michael
7124,Things were not this bad when just Michael was manager.,"Hey, what are you guys doing in here?",Michael
7125,"No, I mean, what do you say to my plan? Okay.",...,Michael
7126,What does a bean mean?,How you doing?,Michael
7127,"Uh, on a scale of one to ten, I’d say I’m about a four.","Oh, what are you usually?",Michael
7128,Six. You?,"Usually a ten, but I’m feeling like a zero.",Michael
7129,"I mean, a performance-based raise sounded like a good idea, right?","I know, I know.",Michael
7130,We tried to find the fairest way to do it.,"Yes, we did.",Michael
7131,I just– what?,"Um, nothing. I just… I used to have to do this part alone, and it was the worst. I have something I would like to give you.",Michael
7132,Thank you.,You’re welcome.,Michael
7133,What’s in here?,Gin.,Michael
7134,Ooh!,Just pretend we’re not here.,Michael
7135,"Yeah, but aren’t you supposed to do that to our… no. It’s great.",It’s just a really important day for me.,Michael
7136,"Well, congrats.",Thanks.,Michael
7137,"Really, Pam…",Yes she does. Yes she does. We’re all gonna go and we’re gonna have a good time.,Michael
7138,Ow! He pinched me!,No.,Michael
7139,See you later.,"And, hey, don’t embarrass me when we go to Niagara.",Michael
7140,"What happens in Niagara, stays in Niagara.",Don’t. Don’t. Don’t. You stole my joke. Don’t steal my joke.,Michael
7141,No… I didn’t steal your joke.,Yes. I said that yesterday.,Michael
7142,But you can say that about anything.,Dwight…,Michael
7143,Oh yeah.,"No. No. No. Please, please. Dwight, that’s my joke.",Michael
7144,It’s easy. That’s what I’m saying.,"This is what I’m talking about. When we leave here and go up to Niagara Falls we are representing Dunder Mifflin, everyone. This is a very important wedding for the branch. The most important wedding until I get married. So, I want you all on your best behavior or so help me, God. So… I will see you up there in Viagra Falls!",Michael
7145,I stole the guest list from Jim’s desk and I search engined every female on both sides of the family.,Get out of here.,Michael
7146,Yes.,"Oh, my God, Dwight.",Michael
7147,"For instance, Pam’s cousin, Jocelyn Webster.",There’s… a name.,Michael
7148,Two years ago she was selling a mountain bike.,"Oh. Well, tell me about Jocelyn.",Michael
7149,"She had a couple hundred dollars to spend, I mean, if she was able to sell her bike.",Is that all you have on her?,Michael
7150,"Well, if this is in fact her because it is a very common name.",You’re an idiot.,Michael
7151,What? No way!,Those glasses are super dark.,Michael
7152,Oh. God.,"Alright. We need some tunes, I think.",Michael
7153,You know what? I made you a cd…,You did?,Michael
7154,Mmm-hmm.,That was nice of you.,Michael
7155,This is to play when you bring a woman back to your hotel room.,"Oh, very thoughtful. A little mix to set the mood. Delightful. Pop that in.",Michael
7156,"You’re gonna like this. “Hello. This is Dwight Schrute. If you are listening to this you are a lucky woman Michael has seduced. Ah to be in your shoes. ‘What’s next?’, you’re probably wondering. Don’t be scared of you’re night in heaven–”",Are you serious? You want me to play that for a woman coming to my room?,Michael
7157,Yeah. It’s practical.,No. No. That’s not how it works.,Michael
7158,The proximity to the falls makes everything smell like a basement.,Mmm-hmm.,Michael
7159,"I’m sorry, sir, but I’m not seeing you in here. When did you make your reservation?",I don’t have a reservation but I want a room in the Halpert-Beesly block of rooms.,Michael
7160,"Here’s your key, Mr. Schrute.","Dwight. Dwight, Dwight. I need to stay in your room.",Michael
7161,No way. What if I meet someone?,"I’m staying in your– Come on, Dwight.",Michael
7162,No. No.,I would do the same for you.,Michael
7163,You would?,Yes.,Michael
7164,Really?,Yes… just go–,Michael
7165,"Wait a second. Oh. No, no, no. This must be some kind of mistake. This reservation seems to be under an M. Scott. This must be yours.",Oh. Thank God.,Michael
7166,"Oh no. Now that I don’t have a room, can I stay with you?",Um… no. And you know what? I would say yes but you can’t. And I’ll tell you why.,Michael
7167,Please?,"If I have a woman up there and things are getting amorous, she’s going to get turned off if she looks in he bathroom and sees you brushing your teeth with butter and clay.",Michael
7168,Mmm-hmm.,Ok.,Michael
7169,Ok. Ok. A-ha-ha! That was a test. You have failed. For this is my room. You would not share with me.,I don’t have a room?,Michael
7170,No you do not.,Ok. ‘Oooh. You must pass the dungeon wisdom test.’,Michael
7171,It worked.,Jerk.,Michael
7172,Mr. and Mrs. Stanley Hudson.,Hey. Stanley? Can I stay in your room tonight?,Michael
7173,Are you crazy? I brought Cynthia with me.,Not in the same bed. In the other bed.,Michael
7174,I got one queen size bed.,You… are… kidding me.,Michael
7175,"A queen size bed is five feet wide. I am not five feet wide, Michael.","I’m not a physics major, Stanley. I’m just saying be careful. Hey, guys. Hey. Could I stay in your room tonight?",Michael
7176,Blow my brains out.,That’s rude.,Michael
7177,"Michael, I have one extra twin bed, if you want.","You are going to be slepping by yourself for the rest of your life, so you just get used to it.",Michael
7178,No.,"Yeah, yeah, yeah. She’s very conservative. So, mum’s the word.",Michael
7179,Oh.,How ya doin’?,Michael
7180,Hi.,Nice to meet you.,Michael
7181,Nice to meet you.,Who’s doing a toast? I would like to go third. Sort of bat clean up and–,Michael
7182,"Michael, I thought we discussed that we would rather you not speak, like, at all. Because it’s just going to be blood relatives, I think.",That is seriously going to impeed my ability to hook up with your female relatives.,Michael
7183,Pretty sure everyone heard that.,Didn’t move my lips.,Michael
7184,"Jim and Pam, I can’t tell you how happy I am to be here.","Head table, where I belong.",Michael
7185,It’s just for family.,"Well, who’s that one?",Michael
7186,"Isabel Poreba. Oh, I’ve got stuff on her. In 1996 her tenth grade volleyball team went 10-2.","What am I supposed to do with that, Dwight?",Michael
7187,A little mo’ cardio.,"That’s not appropriate. Hello. Hi, everybody. I promised I wasn’t gonna make a toast and I’m not going to. Just going to do a little free standing comedy and if at the end everybody wants to raise their glasses to Pam and Jim, then so be it. Hey, what is the deal with the Smart Car? How smart is that? Those things are tiny. Can you even drive them in traffic? ‘I’m so smart. E=mc… squared. I drive a Smart Car.’ That’s not smart in my book. The real smart car is Kitt from Knight Rider.",Michael
7188,Knight Rider.,That’s a car that can talk. Can Smart Car talk? Nope.,Michael
7189,No.,"That’s not smart. And also, Chitty Chitty Bang Bang.",Michael
7190,Very smart.,And… you… everybody can laugh. It doesn’t have to just be the idiots. Everybody can laugh.,Michael
7191,No.,Yeah. Go ahead.,Michael
7192,"Pam can’t drink? I didn’t– I shouldn’t have said that. I don’t know why I did. She can do whatever she wants, though she shouldn’t. She shouldn’t because she’s an alcoholic. Pam is an alcoholic. That’s not true. I– no. What we want– the real reason is that, that Pam’s pregnant.","Ok. Ok. Hey. What I think Jim is trying to say is that… they had an accident and you know what? These two people, they’re living together, they’re having lots of consentual sex–",Michael
7193,They were living together?,"Yes. Yes they were living together. Yes and you know what? You can’t expect them to be careful every time. Because, frankly, it’s just a different sensation.",Michael
7194,Michael.,"When you c– well? Am I wrong? They say it’s not different, but it’s a different sensation.",Michael
7195,"Oh, my God. Please.",When you use something to block– I think everybody knows what I am talking about. It’s not necessarily different for the woman–,Michael
7196,Michael.,…but it’s different for the– ok. Ok.,Michael
7197,Michael. Stop.,"Alright. My point is I said what I wanted to say and Mema, I hope you heard every word.",Michael
7198,Alright.,Jim.,Michael
7199,I can’t believe it was me.,"I know. I can’t believe it was you, either. I actually think it takes a lot of pressure off of me.",Michael
7200,Is there something about being a manager that makes you say stupid things?,I have not found that to be the case.,Michael
7201,I’m so sorry.,"Can you believe it? He screwed up, not me.",Michael
7202,"Oh, my God. Are you serious?",There’s gonna be a free room?,Michael
7203,Oh. You’re that foul guy that kept talking about intercourse.,Yes. Yep. One in the same. May I?,Michael
7204,I want to go to bed but I can’t. I can’t turn that television off.,"Oh. Ok. Well… hook you up, there.",Michael
7205,Oh. Thank you.,You’re welcome.,Michael
7206,It was that horrible Charlie Rose.,"Oh. Isn’t he terrible? May I? Here’s the thing. Umm… Mema, I think you just need to chill out about this whole Pam getting pregnant thing. It’s not 1890 anymore. It’s modern day. And women have sex before marriage and I think we need to celebrate that. And I know in your day she would be considered a whore but, now, women go out and they have sex and they get wild and they take their tops off and they have pictures taken of them and we need to encouage them. That’s part of life.",Michael
7207,People are like cats and dogs these days.,Exactly.,Michael
7208,This used to be such a great country.,I know.,Michael
7209,I don’t know what happened to it.,"They’re gonna name the baby after you, you know. They’re gonna call it Mema.",Michael
7210,"You mean, Sylvia.","Yes, and if it’s a boy they will call it Sylvio.",Michael
7211,"What? It’s a casual, social outfit.","Looks like you’re going to a fish fry, Dwight.",Michael
7212,No. They’re howling at the moon. It’s suggestive to women because of the howling during sex.,"Ok. That’s not appropriate. Uncool. Uncool, Dwight. Ok. Ok. Come on. Let’s go.",Michael
7213,"I’m just worried about the farm, ya know? Mose hates to geld the horses by himself.","Dwight, Dwight. Shut up about the farm. It’s not relatable. Nobody owns a farm.",Michael
7214,Michael.,Yes.,Michael
7215,Drop this one. Abort.,Why?,Michael
7216,I found twins.,"Oh, my God. Twins. I’m sorry. You understand. Nice to meet you.",Michael
7217,Aren’t they magnificent?,"They’re men, Dwight.",Michael
7218,I love finding a good set of twins.,Something is wrong with you.,Michael
7219,Uh…,"Is that Pam? Hey, have her come out! Have her come out! It would be like Coyote Ugly.",Michael
7220,"I love you. Okay, I gotta–I gotta go!",I love you!,Michael
7221,Mmm! It’s after midnight.,You’re married. He’s married!,Michael
7222,Oh my goodness.,Oh my God. You’re not going to be able to talk back.,Michael
7223,You’ll have Pam to answer to.,"She’ll be sitting home saying, “Jim… take the baby to the zoo cause I want to sit at home and eat bon-bons.” “And… and clip my toenails.”",Michael
7224,“Jim… hey why don’t you braid my hair. I want to watch TV.”,Now you sound like Kermit.,Michael
7225,Okay.,"Hey, good morning. It’s about damn time. I haven’t gone to the bathroom in a day and a half. Oh my God, Dwight. This room is a pit.",Michael
7226,I’m ravenous after a night of love making. You?,"Yeah, I’m hungry, but I’m not going to make a pig out of myself.",Michael
7227,"Hey, what was she like?",She was cute. You know? She was hot. She was very hot. She made love like a tiger.,Michael
7228,Brides side or grooms side? Or townie?,She was from Europe.,Michael
7229,No kidding.,Uh-huh.,Michael
7230,I bet she had hairy armpits.,No.,Michael
7231,"Isabel was nice, but I hope she doesn’t think this is going anywhere.",Wait a second. You’re not into her? Are you kidding me?,Michael
7232,No.,She’s Pam’s best friend. You guys could double date. Swap maybe?,Michael
7233,Oh please. Put a gun in my mouth.,No… you’re crazy.,Michael
7234,Look. She’s a dental hygienist from Carbondale and she makes love like one. She’s a bumpkin. Pass.,She’s– okay. Do you know how hard it is to be a hygienist? You have to take x-rays. You have to scrape the plaque off of people’s teeth. You have to tell kids when to spit and make sure they’re not scared when the dentist comes in. It– it–,Michael
7235,You should ask her out.,I already have my European girlfriend.,Michael
7236,"It was my scrotum. Um, and it was. Thank you.","Oh, here we go. They asked for cash, but you know… I give them cash every week, so– how much cash does a person need? I have taken it upon myself to do something a little more special. I have painted a portrait of the two of them from memory. And I have another one of them in the nude. But that one is for me.",Michael
7237,"So, uh tell me again the difference between Filene’s and Filene’s basement.","Hey, hey… He’s not sitting with me either. Where are you sitting? You need a seat buddy?",Michael
7238,I’m standing. I’m a bridesmaid.,"Oh, I wish I was a bridesmaid. Where am I gonna go?",Michael
7239,"Oh, yeah–",Oh! Eww… apricot. Do you have any of the Very Berry or Ocean Splash or–,Michael
7240,No.,Oh… okay. Were you saving it?,Michael
7241,"Oh, no, no, no. That’s okay. I was just–I’ve had a very rough weekend.",I’m sorry. Ugh. Apricot. Made of real apes.,Michael
7242,Oh–,"I came here hoping to meet somebody. You know, as you do at weddings. End up going to sleep by the vending machine. It was loud, but it was warm.",Michael
7243,Oh that sounds awful.,And… and the love of my life is dating somebody else.,Michael
7244,Oh–,It is a terrible year for love.,Michael
7245,Yeah. Guess it is.,I’m thinking about having my sperm frozen.,Michael
7246,Sisters in the can and we totally want to get her when she comes back.,"Oh, wow. That sounds hilarious. I do actually. There you go. Use it in good health.",Michael
7247,"Well we are here now, so let’s just–",Yes! Yes! I have so much joy… in my heart… right now. How do I look?,Michael
7248,Okay then!,"Hey Pam, did you see this? It was on You Tube.",Michael
7249,Well the “fun” is in it.,Get out.,Michael
7250,"Yeah, I know.","Yes. So, it all starts with a handshake. But you can’t just go right to the selling, you need “small talk.” What topics can you use for small talk?",Michael
7251,Golf.,Mmhm.,Michael
7252,Stock market.,Mmhm.,Michael
7253,Dave Matthews.,"Yes, what else?",Michael
7254,"Uh, small things. Peas, ball bearings, dimes…",No.,Michael
7255,The weekend!,"Yeah! That’s good! Come on up! Meredith, come up here. Let’s do a little something. So Meredith and I have just started conversing and I will say, “So Meredith, how was your weekend, what did you do?”",Michael
7256,Well I caught my son taking a dump on the upper part of the toilet.,All right…,Michael
7257,He calls it an upper decker.,"Okay, okay. God. What you people don’t know about business, I could fill a book with.",Michael
7258,Then do it.,What?,Michael
7259,"Mr. Grotti, this is Michael Scott. He’s the person you should talk to.","Oh hi. I’m sorry, just a sec. Erin, you’re supposed to be the gatekeeper, do you have any idea how valuable my time is?",Michael
7260,In your schedule it just says nine til noon is “creative space” and I thought this could be part of that.,Do you know how creative space works? Okay I just cancelled my afternoon.,Michael
7261,You don’t have anything in the afternoon. It just says “free play.”,Push free play til tomorrow morning. Hi. Sorry. Crazy day. You’re seeing how the sausage gets made.,Michael
7262,Ah.,Come in the conference room and I will show you a finished sausage.,Michael
7263,"As a manager of business, you have a lot of pride.",Mmhm.,Michael
7264,But you also got a lot of responsibility,Yep.,Michael
7265,"None greater perhaps, than your need to be sure, that your small or large business is secure in the event of a covered loss.",Okay.,Michael
7266,God forbid you… should have a fire in the warehouse.,"Oh yup. Yeah, definitely. All that paper burning up.",Michael
7267,"Yeah, and a truck, goes off the side of the road, there’s injury.","Mmhm, I hear you. The truck.",Michael
7268,You will be hearing from me Mr. Scott.,"Okay, well.",Michael
7269,I can be very very persistent.,Do your worst.,Michael
7270,Do your worst.,"Oh, great.",Michael
7271,"Would you look at that people? What an unpredictable world we live in, huh?",Mmhm.,Michael
7272,What happened in there?,"Nothing, other than once again, I am just thankful that I am a paper salesman.",Michael
7273,Did he threaten you?,"No Dwight, not everything is a threat.",Michael
7274,Mobsters are!,There is no such things as monsters.,Michael
7275,"No, not that, by itself. But look at all the facts. He seems like a mobster.","Wait, when did we start talking about the mob? The guy was trying to sell me insurance.",Michael
7276,"For the record, not all Italian-Americans are in the Mafia.","I think, he just seemed like he was just trying to sell me insurance.",Michael
7277,Exactly.,He did talk about a fire in the warehouse… and he also vaguely threatened me with testicular cancer.,Michael
7278,"Well first of all, there is no such thing as ‘The Mafia.’",Okay.,Michael
7279,What you have are specific families. What’s the guy’s last name?,"Um it is, Grotti.",Michael
7280,No I disagree. “R” is among the most menacing of sounds. That’s why they call it “murder.” And not “muck-duck.”,Okay too many different words coming at me from too many different sentences.,Michael
7281,Lock your door!,I’m not gonna lock my door.,Michael
7282,"Already? This, this guy is persistent!",“I feel that you will regret missing this great opportunity to be in business.”,Michael
7283,That’s bad.,Yeah.,Michael
7284,That’s bad.,"Yeah. What are my options here? Do I just ignore it, or?",Michael
7285,Yeah right! You heard him! He’s gonna burn down the warehouse or run one of our trucks off the road.,"Okay, I’m calling the police.",Michael
7286,He’s right. Cops can’t do anything until a crime has been reported.,All right.,Michael
7287,"Not only that, but if they find out you snitched, you get a dead horses chopped off head in your bed!",Shh!,Michael
7288,You know what?,That’s not gonna happen.,Michael
7289,That’s how it works!,What am I supposed to do here?,Michael
7290,"When somebody threatens you, you give in right away. Okay you need to buy insurance from this guy and get him off your back",I was thinking exactly the same thing.,Michael
7291,"The only way to defeat a bully is to stand up to him. Trust me, I have bullied a lot of people.","I don’t know, I don’t know about that.",Michael
7292,I like this plan. I’d like to officially withdraw my plan.,"Hold on, hold on! Just-",Michael
7293,"No, no, no. My plan is out! We do this the hard way.","All right. I will meet with him, but I’m not going alone.",Michael
7294,"To change tires, no. But it’s metal, I can hit somebody with it.","Let’s go, come on. God!",Michael
7295,You’re wearing loafers!,Forget it! Forget it!,Michael
7296,Oh! God!,Oh my God!,Michael
7297,You’ll never kill it that way. You want to separate the head from the thorax-,"Guys, guys. Cool it. There he is, there he is.",Michael
7298,Mr. Scott.,Mr. Grotti we meet again. These are my associates.,Michael
7299,"So, you got this table?",Yes.,Michael
7300,"This is one of those half booths, can’t-decide-what-it-is type of thing.",Well.,Michael
7301,That’s fine.,Okay.,Michael
7302,Oh he’s not that nice.,That’s not true.,Michael
7303,Hmm. Very true.,Okay shut up.,Michael
7304,Okay then. And for you sir?,I will have the gabba-gool.,Michael
7305,The… what?,The gabba-gool.,Michael
7306,"You know, gabba-gool.","I don’t, I don’t have to have that.",Michael
7307,"What he’s trying to say is, Gabba. Gool.","Guys, guys-",Michael
7308,I don’t really think that we have that.,That’s okay.,Michael
7309,Bring him the gabba-gool!,"Shh. I will have the spaghetti, with a side salad.",Michael
7310,Okay.,"If the salad is on top, I send it back.",Michael
7311,Yes I can.,"No, no no, no. Come on. I’m sorry, we’re having our salad.",Michael
7312,"Thank you so much, I really appreciate it.","Hey, do you need any help?",Michael
7313,"I’m sure he can handle a simple jump-start. Now come on, sit down.",He’s a good mechanic.,Michael
7314,Where were we?,I don’t…,Michael
7315,He was trying to force you to decide on a policy.,"Okay, okay okay.",Michael
7316,So we’re choosing…,"Yep, all right.",Michael
7317,Check out Dental?,Put it down.,Michael
7318,Just do it.,Okay.,Michael
7319,Yes.,Okay.,Michael
7320,"I don’t understand, why would you buy a policy?",It’s just the cost of a cup of coffee an hour.,Michael
7321,"You were man enough to back down Michael, I’m proud of you.",I had to make a snap decision Dwight.,Michael
7322,"It wasn’t a snap decision, you were sitting there for an hour.",It was a lot of snap decisions.,Michael
7323,Do you know what “snap decision” means?,Yes!,Michael
7324,It means like this.,Just get in the car.,Michael
7325,Hello?,Jim?,Michael
7326,Michael?,Oh thank God.,Michael
7327,"How did you get this number? Michael, we’re on a catamaran.","It wasn’t easy. I had to tell the hotel it was a medical emergency. I chose massive coronary, cause you told me that your Dad had a bad heart. Listen man, I, I got a problem, I think I’m in trouble with the mob. Or a major insurance carrier.",Michael
7328,That sounds bad.,"Yeah, I know and you usually can get out of stuff like this, so I’m turning to you my friend.",Michael
